instrument_type,market_price_available,pricing_input_type,valuation_method,trade_volume,trade_currency,instrument_rating,price_volatility_30d,days_since_last_trade,avg_curve_observability,ifrs13_level
Derivative,True,Observable,Model-based,83012,INR,AA,0.26,254,0.82,Level 2
Bond,True,Observable,Model-based,65753,INR,B,0.56,33,0.83,Level 2
Bond,False,Unobservable,Mark-to-Market,79432,INR,A,0.37,353,0.89,Level 3
Bond,False,Observable,Model-based,16038,INR,BBB,0.21,343,0.54,Level 2
Derivative,False,Observable,Mark-to-Market,72535,USD,BBB,0.64,195,0.26,Level 2
Derivative,True,Unobservable,Model-based,15409,INR,AA,0.64,173,0.3,Level 3
Bond,True,Unobservable,Model-based,18142,INR,AA,0.94,64,0.53,Level 3
Loan,True,Observable,Mark-to-Market,7849,USD,BBB,0.97,53,0.4,Level 2
Bond,True,Unobservable,Model-based,76494,EUR,BB,0.62,72,0.3,Level 3
Loan,True,Observable,Mark-to-Market,35182,INR,AAA,0.17,318,0.52,Level 2
Bond,True,Observable,Mark-to-Market,2138,EUR,BBB,0.52,137,0.78,Level 2
Derivative,False,Observable,Mark-to-Market,13044,INR,BBB,0.21,40,0.36,Level 2
Derivative,True,Unobservable,Model-based,5387,USD,B,0.15,62,0.35,Level 3
Loan,True,Unobservable,Mark-to-Market,75799,USD,B,0.35,36,0.76,Level 3
Loan,False,Observable,Mark-to-Market,90131,USD,BB,0.38,261,0.13,Level 2
Derivative,True,Unobservable,Model-based,70636,INR,B,0.35,79,0.24,Level 3
Loan,True,Unobservable,Mark-to-Market,88329,USD,AA,0.19,287,0.53,Level 3
Derivative,False,Unobservable,Model-based,23833,USD,B,0.95,83,0.12,Level 3
Derivative,True,Unobservable,Model-based,95727,USD,BB,0.59,48,0.84,Level 3
Loan,True,Unobservable,Mark-to-Market,71709,USD,AAA,0.95,355,0.12,Level 3
Bond,True,Unobservable,Model-based,96460,EUR,BB,0.43,361,0.61,Level 3
Bond,True,Observable,Mark-to-Market,8666,INR,A,0.25,133,0.17,Level 2
Derivative,False,Unobservable,Model-based,29277,INR,BBB,0.32,300,0.37,Level 3
Derivative,False,Observable,Model-based,95545,EUR,B,0.98,46,0.3,Level 2
Loan,True,Unobservable,Mark-to-Market,7265,EUR,AAA,0.39,359,0.86,Level 3
Derivative,True,Unobservable,Model-based,21106,EUR,AA,0.21,162,0.77,Level 3
Loan,False,Observable,Mark-to-Market,91408,USD,BBB,0.26,228,0.64,Level 2
Loan,False,Observable,Mark-to-Market,14397,EUR,AAA,0.2,356,0.22,Level 2
Derivative,False,Unobservable,Model-based,15368,USD,A,0.63,344,0.56,Level 3
Loan,True,Unobservable,Model-based,87450,INR,AA,0.62,289,0.41,Level 3
Bond,True,Unobservable,Mark-to-Market,64809,USD,B,0.25,298,0.44,Level 3
Derivative,True,Unobservable,Model-based,46727,EUR,B,0.9,357,0.38,Level 3
Loan,True,Observable,Model-based,14054,INR,BB,0.96,76,0.13,Level 2
Derivative,False,Unobservable,Mark-to-Market,65249,EUR,B,0.78,55,0.97,Level 3
Derivative,True,Observable,Model-based,52020,USD,B,0.61,223,0.39,Level 2
Derivative,False,Unobservable,Mark-to-Market,35194,EUR,BBB,0.66,358,0.17,Level 3
Derivative,False,Observable,Model-based,33105,INR,AAA,0.63,229,0.83,Level 2
Bond,True,Unobservable,Model-based,64902,EUR,BBB,0.78,358,0.63,Level 3
Loan,False,Observable,Model-based,10468,EUR,AAA,0.47,303,0.37,Level 2
Bond,False,Observable,Model-based,48518,EUR,AA,0.81,213,0.38,Level 2
Bond,True,Observable,Mark-to-Market,39506,INR,B,0.33,89,1.0,Level 1
Derivative,False,Unobservable,Mark-to-Market,51881,EUR,A,0.8,210,0.17,Level 3
Loan,False,Observable,Mark-to-Market,93606,USD,A,0.3,294,0.14,Level 2
Loan,False,Observable,Model-based,33125,EUR,B,0.39,334,0.51,Level 2
Bond,False,Unobservable,Model-based,6631,EUR,A,0.99,175,0.65,Level 3
Bond,True,Unobservable,Model-based,26889,USD,AAA,0.37,164,0.22,Level 3
Loan,False,Observable,Mark-to-Market,17976,INR,A,0.69,363,0.77,Level 2
Derivative,False,Observable,Model-based,30418,EUR,AA,0.2,87,0.96,Level 2
Loan,True,Observable,Mark-to-Market,26769,EUR,BBB,0.75,329,0.16,Level 2
Loan,False,Observable,Model-based,84791,USD,AA,0.94,88,0.35,Level 2
